"lagoslakeid","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,34.5,NA,NA,NA,NA,15.4,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,56.9,NA,NA,49.36666667,NA,NA,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,67.73333333,NA,NA,NA,30.25,28,70,12.5,NA,7.75,86.5,70.33333333,70.5,10,22.5,52.5,47.25,NA,NA
64,NA,NA,NA,NA,NA,NA,58.46666667,25.26333333,NA,57.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.7,64.8,NA
67,NA,9.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,4,3.666666667,5,3.666666667,NA
71,106.3333333,103.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.25,138.0666667,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,191.65,NA,NA,NA,48,65,70,NA,75.8,NA,68.34285714,NA,7.2,67.83333333,NA,149.6666667,130,NA,NA
73,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,3.02,4.078,5.138,4.692857143,4.071111111,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.2333333,108.2,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,137.5,NA,NA,NA,96.4,65.16666667,51.33333333,26.93333333,62.83333333,47.43333333,54.77142857,70.2,88.33333333,58.16666667,124.2857143,86.33333333,71.28571429,67.66666667,NA
79,NA,10.875,NA,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.75,5.333333333,NA,NA,7.5,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.8,NA,NA,15.78,NA,22.36666667,48.5,15.21666667,5.633333333,11.35,8.266666667,49.15,NA,NA
94,NA,NA,NA,NA,NA,NA,75.73333333,NA,NA,NA,NA,NA,50.6,NA,NA,NA,NA,35.45,39.6,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,59,NA,NA,178.8333333,NA,NA,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,24.37,18.56666667,14,NA,NA,NA,NA,NA,19,17.66666667,4.5,NA,NA,NA,NA,NA,NA,25,NA,28.5,49,NA
134,85,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.25714286,56.42857143,43.33333333,23.66666667,59,73.33333333,105.6666667,62.57142857,81.4,79.33333333,NA
156,32.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.17666667,15.45,19.9,37.4,NA,NA
163,NA,NA,NA,NA,NA,NA,NA,2.21,NA,NA,NA,4.233333333,NA,4.35,NA,NA,4.283333333,1.2,NA,1.814285714,2.983333333,NA,10.85166667,NA
168,NA,NA,NA,NA,17.7275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.01,6.413333333,12.5,7.44,NA,NA
171,NA,NA,NA,NA,NA,NA,NA,NA,3.375,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,5,2.5,5,4.333333333,5.5,NA
173,20,93,NA,NA,NA,NA,NA,NA,NA,24.9,53.5,33.46666667,17.1,60.43333333,45.24285714,95.17142857,89.42857143,74.84285714,51.06666667,42.7,53.03,46.95,45.31666667,NA
177,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,15.3,23.75,19.22857143,30.15,61.54,41.6,18,45.85714286,NA,11.33333333,NA,NA
179,NA,223.3333333,NA,NA,NA,NA,NA,NA,NA,88.23333333,NA,NA,NA,61.9,61.7,NA,NA,66.8,123,3,184,60.5,NA,NA
188,50,36,NA,NA,NA,NA,NA,NA,NA,31.33333333,NA,NA,NA,NA,NA,NA,49.65,76.43333333,46.66666667,NA,NA,42.33333333,102.5,NA
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.25,123.25,16.3,13.5,8.833333333,25.96666667,NA,NA,37.66666667,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.133333333,13.73333333,19.83333333,27.1,40.83333333,NA,12.14285714,NA,NA,NA,NA,NA,NA,NA,NA
203,NA,15,NA,NA,NA,NA,NA,NA,NA,48.16666667,70,29.24,39.4,23.24,34.34,51.51666667,44.83333333,27.33333333,25.93333333,19.5,31.02,18,25.16666667,NA
211,6.030374985,3.053000005,4.560186725,7.949866593,4.34002525,5.370277785,5.346455676,4.704285717,4.468548017,8.415214322,5.876265046,4.845063291,5.604246527,5.323239458,5.019718334,8.319066685,5.786144592,4.280972244,6.507733327,4.677922062,4.913378377,NA,NA,NA
213,NA,NA,NA,NA,NA,4.806666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.666666667,5.75,5.333333333,8.333333333,6,4,4,6.333333333,NA
228,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.933333333,22.35,NA,7.625,NA,NA,NA,282.65,NA,NA,NA,NA,NA,NA,NA
236,59,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,21.66666667,43,37.66666667,10.45714286,8.214285714,NA
249,14.44666658,22.47833352,6.626666733,10.24,7.688,10.58000015,4.737499988,6.180769154,4.014013289,7.48295364,5.417829888,6.879999988,4.337500025,5.440000013,3.664285743,10.62899984,6.948888889,7.25699992,6.065833292,9.08499996,9.846363682,NA,NA,NA
256,NA,NA,NA,NA,32.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,11.36,10.1,7.28,14.88333333,12.75714286,17.21666667,NA
260,NA,NA,NA,NA,NA,4.056666667,3.363333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.333333333,4,5.125,5.48,4.9425,3.923333333,3.333333333,NA
280,39,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.05,NA,NA,NA
283,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2,89.45,64.875,10.575,88.08,66.5,23.95,36.88,42.125,11.925,17.5,11.46,10.52,10.316,NA
284,NA,NA,2.3,NA,NA,2.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3.2,NA,NA
291,NA,NA,NA,NA,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.06666667,112,NA,NA
299,NA,NA,NA,NA,NA,3.36,NA,NA,NA,NA,NA,NA,NA,NA,4.333333333,4,3,5,4,NA,NA,NA,3.8,NA
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,51,164,129.6666667,74.66666667,103.3333333,126,NA,276.6666667,198.8571429,178.3333333,205.3333333,112,178,NA
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,287.1428571,257.8571429,221.6666667,NA,383.3333333,NA,122.1666667,NA,254,206.2857143,63.57142857,83,100,67.2,NA
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.666666667,1.666666667,1.666666667,2.666666667,2.333333333,2.666666667,1.333333333,2,3.25,2,2,2,1,NA
334,NA,NA,NA,NA,6.97,NA,NA,NA,NA,NA,3,10.66666667,NA,NA,9,NA,NA,21,3.5,4.5,14,26,8.333333333,NA
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,61.2,16.4,31,7.55,23.09833333,17.43333333,18.3,18.51666667,18.9,20.45,6.216666667,13.78333333,NA
338,NA,NA,NA,NA,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.76666667,98,NA,NA
339,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.333333333,2,4.666666667,3.5,3.666666667,2.333333333,NA,NA
352,NA,NA,3,NA,1.95,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,9.51,NA
356,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,6.566666667,13.16666667,9.55,17.63333333,NA,21.51428571,NA,NA,NA,NA,NA,3.06,19.81666667,NA
361,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,160.6,NA,NA,NA,NA,NA
363,NA,NA,NA,NA,159.5,NA,NA,NA,NA,NA,NA,NA,184,NA,NA,NA,115,NA,94,51.22222222,NA,65.4,168.6,NA
